show_id,type,title ,director,cast,date_added,release_year,rating,duration,listed_in,genre,country
s12,TV Show,Bangkok Breaking,Kongkiat Komesiri,"Sukollawat Kanarot, Sushar Manaying, Pavarit Mongkolpisit",2021-09-23,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action and Adventure",Crime TV Shows,Other
s13,Movie,Je Suis Karl,Christian Schwochow,"Luna Wedler, Jannis Niewahner, Milan Peschel",2021-09-23,2021,TV-MA,127 min,"Dramas, International Movies",Dramas,Germany
s14,Movie,Confessions Of An Invisible Girl,Bruno Garotti,"Klara Castanho, Lucca Picon, Jalia Gomes",2021-09-22,2021,TV-PG,91 min,"Children and Family Movies, Comedies",Children and Family Movies,Other
s15,TV Show,Crime Stories India Detectives,Unknown,Unknown,2021-09-22,2021,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries",British TV Shows,Other
s16,TV Show,Dear White People,Unknown,"Logan Browning, Brandon P. Bell, Deron Horton",2021-09-22,2021,TV-MA,4 Seasons,"TV Comedies, TV Dramas",TV Comedies,United States
s17,Movie,Europes Most Dangerous Man Otto Skorzeny In Spain,Pedro De,Unknown,2021-09-22,2020,TV-MA,67 min,"Documentaries, International Movies",Documentaries,Other
s18,TV Show,Falsa Identidad,Unknown,"Luis Ernesto Franco, Camila Sodi, Sergio Goyri",2021-09-22,2020,TV-MA,2 Seasons,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",Crime TV Shows,Mexico
s19,Movie,Intrusion,Adam Salky,"Freida Pinto, Logan Marshall-Green, Robert John Burke",2021-09-22,2021,TV-14,94 min,Thrillers,Thrillers,Other
s20,TV Show,Jaguar,Unknown,"Blanca Suarez, Ivan Marcos, Ascar Casas",2021-09-22,2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action and Adventure",International TV Shows,Other
s21,TV Show,Monsters Inside The 24 Faces Of Billy Milligan,Olivier Megaton,Unknown,2021-09-22,2021,TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows",Crime TV Shows,Other
s22,TV Show,Resurrection Ertugrul,Unknown,"Engin Altan Dazyatan, Serdar Gakhan, Halya Darcan",2021-09-22,2018,TV-14,5 Seasons,"International TV Shows, TV Action and Adventure, TV Dramas",International TV Shows,Turkey
s23,Movie,Avvai Shanmughi,K.S. Ravikumar,"Kamal Hassan, Meena, Gemini Ganesan",2021-09-21,1996,TV-PG,161 min,"Comedies, International Movies",Comedies,Other
s24,Movie,Go Go Cory Carson Chrissy Takes The Wheel,Alex Woo,"Maisie Benson, Paul Killam, Kerry Gudjohnsen",2021-09-21,2021,TV-Y,61 min,Children and Family Movies,Children and Family Movies,Other
s25,Movie,Jeans,S. Shankar,"Prashanth, Aishwarya Rai Bachchan, Sri Lakshmi",2021-09-21,1998,TV-14,166 min,"Comedies, International Movies, Romantic Movies",Comedies,India
s26,TV Show,Love On The Spectrum,Unknown,Brooke Satchwell,2021-09-21,2021,TV-14,2 Seasons,"Docuseries, International TV Shows, Reality TV",Docuseries,Australia
s27,Movie,Minsara Kanavu,Rajiv Menon,"Arvind Swamy, Kajol, Prabhu Deva",2021-09-21,1997,TV-PG,147 min,"Comedies, International Movies, Music and Musicals",Comedies,Other
s28,Movie,Grown Ups,Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock",2021-09-20,2010,PG-13,103 min,Comedies,Comedies,United States
s29,Movie,Dark Skies,Scott Stewart,"Keri Russell, Josh Hamilton, J.K. Simmons",2021-09-19,2013,PG-13,97 min,"Horror Movies, Sci-Fi and Fantasy",Horror Movies,United States
s30,Movie,Paranoia,Robert Luketic,"Liam Hemsworth, Gary Oldman, Amber Heard",2021-09-19,2013,PG-13,106 min,Thrillers,Thrillers,United States
s31,Movie,Ankahi Kahaniya,Ashwiny Iyer,"Abhishek Banerjee, Rinku Rajguru, Delzad Hiwale",2021-09-17,2021,TV-14,111 min,"Dramas, Independent Movies, International Movies",Dramas,Other
s32,TV Show,Chicago Party Aunt,Unknown,"Lauren Ash, Rory O'Malley, Rupaul Charles",2021-09-17,2021,TV-MA,1 Season,TV Comedies,TV Comedies,Other
s33,TV Show,Sex Education,Unknown,"Asa Butterfield, Gillian Anderson, Ncuti Gatwa",2021-09-17,2020,TV-MA,3 Seasons,"British TV Shows, International TV Shows, TV Comedies",British TV Shows,United Kingdom
s34,TV Show,Squid Game,Unknown,"Lee Jung-Jae, Park Hae-Soo, Wi Ha-Jun",2021-09-17,2021,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Thrillers",International TV Shows,Other
s35,TV Show,Tayo And Little Wizards,Unknown,"Dami Lee, Jason Lee, Bommie Catherine Han",2021-09-17,2020,TV-Y7,1 Season,Kids' TV,Kids' TV,Other
s36,Movie,The Father Who Moves Mountains,Daniel Sandu,"Adrian Titieni, Elena Purea, Judith State",2021-09-17,2021,TV-MA,110 min,"Dramas, International Movies, Thrillers",Dramas,Other
s37,Movie,The Stronghold,Cacdric Jimenez,"Gilles Lellouche, Karim Leklou, Franaois Civil",2021-09-17,2021,TV-MA,105 min,"Action and Adventure, Dramas, International Movies",Action and Adventure,Other
s38,TV Show,Angry Birds,Unknown,"Antti Paakkanen, Helja Heikkinen, Lynne Guaglione",2021-09-16,2018,TV-Y7,1 Season,"Kids' TV, TV Comedies",Kids' TV,Finland
s39,Movie,Birth Of The Dragon,George Nolfi,"Billy Magnussen, Ron Yuan, Qu Jingjing",2021-09-16,2017,PG-13,96 min,"Action and Adventure, Dramas",Action and Adventure,China
s40,TV Show,Chhota Bheem,Unknown,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani",2021-09-16,2021,TV-Y7,3 Seasons,Kids' TV,Kids' TV,India
s41,TV Show,He-Man And The Masters Of The Universe,Unknown,"Yuri Lowenthal, Kimberly Brooks, Antony Del Rio",2021-09-16,2021,TV-Y7,1 Season,"Kids' TV, TV Sci-Fi and Fantasy",Kids' TV,United States
s42,Movie,Jaws,Steven Spielberg,"Roy Scheider, Robert Shaw, Richard Dreyfuss",2021-09-16,1975,PG,124 min,"Action and Adventure, Classic Movies, Dramas",Action and Adventure,United States
s43,Movie,Jaws 2,Jeannot Szwarc,"Roy Scheider, Lorraine Gary, Murray Hamilton",2021-09-16,1978,PG,116 min,"Dramas, Horror Movies, Thrillers",Dramas,United States
s44,Movie,Jaws 3,Joe Alves,"Dennis Quaid, Bess Armstrong, Simon Maccorkindale",2021-09-16,1983,PG,98 min,"Action and Adventure, Horror Movies, Thrillers",Action and Adventure,United States
s45,Movie,Jaws The Revenge,Joseph Sargent,"Lorraine Gary, Lance Guest, Mario Van Peebles",2021-09-16,1987,PG-13,91 min,"Action and Adventure, Horror Movies, Thrillers",Action and Adventure,United States
s46,Movie,My Heroes Were Cowboys,Tyler Greco,Unknown,2021-09-16,2021,PG,23 min,Documentaries,Documentaries,Other
s47,Movie,Safe House,Daniel Espinosa,"Denzel Washington, Ryan Reynolds, Vera Farmiga",2021-09-16,2012,R,115 min,Action and Adventure,Action and Adventure,South Africa
s48,TV Show,The Smart Money Woman,Bunmi Ajakaiye,"Osas Ighodaro, Ini Dima-Okojie, Kemi Lala Akindoju",2021-09-16,2020,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",International TV Shows,Other
s49,Movie,Training Day,Antoine Fuqua,"Denzel Washington, Ethan Hawke, Scott Glenn",2021-09-16,2001,R,122 min,"Dramas, Thrillers",Dramas,United States
s50,TV Show,Castle And Castle,Unknown,"Richard Mofe-Damijo, Dakore Akande, Bimbo Manuel",2021-09-15,2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas",International TV Shows,Nigeria
s51,TV Show,Dharmakshetra,Unknown,"Kashmira Irani, Chandan Anand, Dinesh Mehta",2021-09-15,2014,TV-PG,1 Season,"International TV Shows, TV Dramas, TV Sci-Fi and Fantasy",International TV Shows,India
s52,Movie,Inuyasha The Movie 2 The Castle Beyond The Looking Glass,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Mieko Harada",2021-09-15,2002,TV-14,99 min,"Action and Adventure, Anime Features, International Movies",Action and Adventure,Japan
s53,Movie,Inuyasha The Movie 3 Swords Of An Honorable Ruler,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani",2021-09-15,2003,TV-14,99 min,"Action and Adventure, Anime Features, International Movies",Action and Adventure,Japan
s54,Movie,Inuyasha The Movie 4 Fire On The Mystic Island,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani",2021-09-15,2004,TV-PG,88 min,"Action and Adventure, Anime Features, International Movies",Action and Adventure,Japan
s55,Movie,Inuyasha The Movie Affections Touching Across Time,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani",2021-09-15,2001,TV-PG,100 min,"Action and Adventure, Anime Features, International Movies",Action and Adventure,Japan
s56,TV Show,Nailed It,Unknown,"Nicole Byer, Jacques Torres",2021-09-15,2021,TV-PG,6 Seasons,Reality TV,Reality TV,United States
s57,Movie,Naruto Shippuden The Movie Blood Prison,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Rikiya Koyama",2021-09-15,2011,TV-14,102 min,"Action and Adventure, Anime Features, International Movies",Action and Adventure,Japan
s58,Movie,Naruto Shippaden The Movie Bonds,Hajime Kamegaki,"Junko Takeuchi, Chie Nakamura, Noriaki Sugiyama",2021-09-15,2008,TV-PG,93 min,"Action and Adventure, Anime Features, International Movies",Action and Adventure,Japan
s59,Movie,Naruto Shippaden The Movie The Will Of Fire,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Kazuhiko Inoue",2021-09-15,2009,TV-PG,96 min,"Action and Adventure, Anime Features, International Movies",Action and Adventure,Japan
s60,Movie,Naruto Shippuden The Movie,Hajime Kamegaki,"Junko Takeuchi, Chie Nakamura, Yoichi Masukawa",2021-09-15,2007,TV-PG,95 min,"Action and Adventure, Anime Features, International Movies",Action and Adventure,Japan
s61,Movie,Naruto Shippuden The Movie The Lost Tower,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Satoshi Hino",2021-09-15,2010,TV-14,85 min,"Action and Adventure, Anime Features, International Movies",Action and Adventure,Japan
s62,Movie,Naruto The Movie 2 Legend Of The Stone Of Gelel,Hirotsugu Kawasaki,"Junko Takeuchi, Gamon Kaai, Chie Nakamura",2021-09-15,2005,TV-PG,97 min,"Action and Adventure, Anime Features, International Movies",Action and Adventure,Japan
s63,Movie,Naruto The Movie 3 Guardians Of The Crescent Moon Kingdom,Toshiyuki Tsuru,"Junko Takeuchi, Chie Nakamura, Yoichi Masukawa",2021-09-15,2006,TV-PG,95 min,"Action and Adventure, Anime Features, International Movies",Action and Adventure,Japan
s64,Movie,Naruto The Movie Ninja Clash In The Land Of Snow,Tensai Okamura,"Junko Takeuchi, Noriaki Sugiyama, Chie Nakamura",2021-09-15,2004,TV-PG,83 min,"Action and Adventure, Anime Features, International Movies",Action and Adventure,Japan
s65,Movie,Nightbooks,David Yarovesky,"Winslow Fegley, Lidya Jewett, Krysten Ritter",2021-09-15,2021,TV-PG,103 min,Children and Family Movies,Children and Family Movies,Other
s66,TV Show,Numberblocks,Unknown,"Beth Chalmers, David Holt, Marcel Mccalla",2021-09-15,2021,TV-Y,6 Seasons,Kids' TV,Kids' TV,United Kingdom
s67,TV Show,Raja Rasoi Aur Anya Kahaniyan,Unknown,Unknown,2021-09-15,2014,TV-G,1 Season,"Docuseries, International TV Shows",Docuseries,India
s68,TV Show,Saved By The Bell,Unknown,"Mark-Paul Gosselaar, Tiffani Thiessen, Mario Lopez",2021-09-15,1994,TV-PG,9 Seasons,"Kids' TV, TV Comedies",Kids' TV,United States
s69,Movie,Schumacher,Hanns-Bruno Kammertans,Michael Schumacher,2021-09-15,2021,TV-14,113 min,"Documentaries, International Movies, Sports Movies",Documentaries,Other
s70,TV Show,Stories By Rabindranath Tagore,Unknown,Unknown,2021-09-15,2015,TV-PG,1 Season,"International TV Shows, TV Dramas",International TV Shows,India
s71,TV Show,Too Hot To Handle Latino,Unknown,Itata Cantoral,2021-09-15,2021,TV-MA,1 Season,"International TV Shows, Reality TV, Romantic TV Shows",International TV Shows,Other
s72,Movie,A Storybots Space Adventure,David A.,"Evan Spiridellis, Erin Fitzgerald, Jeff Gill",2021-09-14,2021,TV-Y,13 min,Children and Family Movies,Children and Family Movies,Other
s73,TV Show,Jack Whitehall Travels With My Father,Unknown,"Jack Whitehall, Michael Whitehall",2021-09-14,2021,TV-MA,5 Seasons,"British TV Shows, Docuseries, International TV Shows",British TV Shows,United Kingdom
s74,Movie,King Of Boys,Kemi Adetiba,"Sola Sobowale, Adesua Etomi, Remilekun Reminisce Safaru",2021-09-14,2018,TV-MA,182 min,"Dramas, International Movies",Dramas,Nigeria
s75,TV Show,The Worlds Most Amazing Vacation Rentals,Unknown,Unknown,2021-09-14,2021,TV-PG,2 Seasons,Reality TV,Reality TV,Other
s76,Movie,You Vs. Wild Out Cold,Ben Simms,"Bear Grylls, Jason Derek Prempeh",2021-09-14,2021,TV-G,106 min,Children and Family Movies,Children and Family Movies,Other
s77,TV Show,Yowamushi Pedal,Unknown,"Daiki Yamashita, Kohsuke Toriumi, Jun Fukushima",2021-09-14,2013,TV-14,1 Season,"Anime Series, International TV Shows",Anime Series,Japan
s78,Movie,Little Singham - Black Shadow,Prakash Satam,"Sumriddhi Shukla, Jigna Bharadwaj, Sonal Kaushal",2021-09-11,2021,TV-Y7,48 min,"Children and Family Movies, Comedies",Children and Family Movies,Other
s79,Movie,Tughlaq Durbar,Delhiprasad Deenadayalan,"Vijay Sethupathi, Parthiban, Raashi Khanna",2021-09-11,2020,TV-14,145 min,"Comedies, Dramas, International Movies",Comedies,Other
s80,Movie,Tughlaq Durbar Telugu,Delhiprasad Deenadayalan,"Vijay Sethupathi, Parthiban, Raashi Khanna",2021-09-11,2021,TV-14,145 min,"Comedies, Dramas, International Movies",Comedies,Other
s81,Movie,Firedrake The Silver Dragon,Tomer Eshed,"Thomas Brodie-Sangster, Felicity Jones, Freddie Highmore",2021-09-10,2021,TV-Y7,93 min,Children and Family Movies,Children and Family Movies,Other
s82,Movie,Kate,Cedric Nicolas-Troyan,"Mary Elizabeth Winstead, Jun Kunimura, Woody Harrelson",2021-09-10,2021,R,106 min,Action and Adventure,Action and Adventure,United States
s83,TV Show,Lucifer,Unknown,"Tom Ellis, Lauren German, Kevin Alejandro",2021-09-10,2021,TV-14,6 Seasons,"Crime TV Shows, TV Comedies, TV Dramas",Crime TV Shows,United States
s84,TV Show,Metal Shop Masters,Unknown,Jo Koy,2021-09-10,2021,TV-MA,1 Season,Reality TV,Reality TV,Other
s85,Movie,Omo Ghetto The Saga,Jjc Skillz,"Funke Akindele, Ayo Makun, Chioma Chukwuka Akpotha",2021-09-10,2020,TV-MA,147 min,"Action and Adventure, Comedies, Dramas",Action and Adventure,Nigeria
s86,TV Show,Pokamon Master Journeys The Series,Unknown,"Ikue Otani, Sarah Natochenny, Zeno Robinson",2021-09-10,2021,TV-Y7,1 Season,"Anime Series, Kids' TV",Anime Series,Other
s87,Movie,Prey,Thomas Sieben,"David Kross, Hanno Koffler, Maria Ehrich",2021-09-10,2021,TV-MA,87 min,"International Movies, Thrillers",International Movies,Other
s88,TV Show,Titipo Titipo,Unknown,"Jeon Hae-Ri, Kim Eun-Ah, Hong Bum-Ki",2021-09-10,2019,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows",Kids' TV,Other
s89,Movie,Blood Brothers Malcolm X and Muhammad Ali,Marcus Clarke,"Malcolm X, Muhammad Ali",2021-09-09,2021,PG-13,96 min,"Documentaries, Sports Movies",Documentaries,Other
s90,TV Show,Mighty Raju,Unknown,"Julie Tejwani, Sabina Malik, Jigna Bhardwaj",2021-09-09,2017,TV-Y7,4 Seasons,Kids' TV,Kids' TV,Other
s91,Movie,Paradise Hills,Alice Waddington,"Emma Roberts, Danielle Macdonald, Awkwafina",2021-09-09,2019,TV-MA,95 min,"Sci-Fi and Fantasy, Thrillers",Sci-Fi and Fantasy,Spain
s92,Movie,The Women And The Murderer,Mona Achache,Unknown,2021-09-09,2021,TV-14,92 min,"Documentaries, International Movies",Documentaries,France
s93,TV Show,Into The Night,Unknown,"Pauline Etienne, Laurent Capelluto, Stefano Cassetti",2021-09-08,2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries",International TV Shows,Belgium
s94,Movie,Jj+E,Alexis Almstram,"Elsa Ahrn, Mustapha Aarab, Jonay Pineda Skallak",2021-09-08,2021,TV-MA,91 min,"Dramas, International Movies, Romantic Movies",Dramas,Other
s95,Movie,Show Dogs,Raja Gosnell,"Will Arnett, Ludacris, Natasha Lyonne",2021-09-08,2018,PG,90 min,"Children and Family Movies, Comedies",Children and Family Movies,United Kingdom
s96,TV Show,The Circle,Unknown,Michelle Buteau,2021-09-08,2021,TV-MA,3 Seasons,Reality TV,Reality TV,United States
s97,Movie,If I Leave Here Tomorrow A Film About Lynyrd Skynyrd,Stephen Kijak,"Ronnie Van Zandt, Gary Rossington, Allen Collins",2021-09-07,2018,TV-MA,97 min,"Documentaries, Music and Musicals",Documentaries,United States
s98,TV Show,Kid Cosmic,Unknown,"Jack Fisher, Tom Kenny, Amanda C. Miller",2021-09-07,2021,TV-Y7,2 Seasons,"Kids' TV, TV Comedies, TV Sci-Fi and Fantasy",Kids' TV,United States
s99,TV Show,Octonauts Above and Beyond,Unknown,"Antonio Aakeel, Chipo Chung, Simon Foster",2021-09-07,2021,TV-Y,1 Season,"British TV Shows, Kids' TV",British TV Shows,United Kingdom
s100,TV Show,On The Verge,Unknown,"Julie Delpy, Elisabeth Shue, Sarah Jones",2021-09-07,2021,TV-MA,1 Season,"TV Comedies, TV Dramas",TV Comedies,France
s101,TV Show,Tobot Galaxy Detectives,Unknown,"Austin Abell, Travis Turner, Cole Howard",2021-09-07,2019,TV-Y7,2 Seasons,Kids' TV,Kids' TV,Other
s102,Movie,Untold Breaking Point,Chapman Way,Unknown,2021-09-07,2021,TV-MA,80 min,"Documentaries, Sports Movies",Documentaries,United States
s103,TV Show,Countdown Inspiration4 Mission To Space,Jason Hehir,Unknown,2021-09-06,2021,TV-14,1 Season,"Docuseries, Science and Nature TV",Docuseries,Other
s104,Movie,Shadow Parties,Yemi Amodu,"Jide Kosoko, Omotola Jalade-Ekeinde, Yemi Blaq",2021-09-06,2020,TV-MA,117 min,"Dramas, International Movies, Thrillers",Dramas,Other
s105,TV Show,Tayo The Little Bus,Unknown,"Robyn Slade, Kami Desilets",2021-09-06,2016,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows",Kids' TV,South Korea
s106,Movie,Angamaly Diaries,Lijo Jose,"Antony Varghese, Reshma Rajan, Binny Rinky Benjamin",2021-09-05,2017,TV-14,128 min,"Action and Adventure, Comedies, Dramas",Action and Adventure,India
s107,TV Show,Bunkd,Unknown,"Peyton List, Karan Brar, Skai Jackson",2021-09-05,2021,TV-G,5 Seasons,"Kids' TV, TV Comedies",Kids' TV,United States
s108,Movie,A Champion Heart,David De,"Mandy Grace, David De Vos, Donna Rusch",2021-09-04,2018,G,90 min,"Children and Family Movies, Dramas",Children and Family Movies,United States
s109,TV Show,Dive Club,Unknown,"Aubri Ibrag, Sana'A Shaik, Miah Madden",2021-09-03,2021,TV-G,1 Season,"Kids' TV, TV Dramas, Teen TV Shows",Kids' TV,Australia
s110,TV Show,La Casa De Papel,Unknown,"Arsula Corbera, Itziar Itua, Alvaro Morte",2021-09-03,2021,TV-MA,5 Seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Crime TV Shows,Spain
s111,TV Show,Money Heist From Tokyo To Berlin,Luis Alfaro,Unknown,2021-09-03,2021,TV-MA,1 Season,"Docuseries, International TV Shows, Spanish-Language TV Shows",Docuseries,Other
s112,TV Show,Sharkdog,Unknown,"Liam Mitchell, Dee Bradley Baker, Grey Griffin",2021-09-03,2021,TV-Y,1 Season,Kids' TV,Kids' TV,United States
s113,Movie,Worth,Sara Colangelo,"Michael Keaton, Stanley Tucci, Amy Ryan",2021-09-03,2021,PG-13,119 min,Dramas,Dramas,Other
s114,Movie,Afterlife Of The Party,Stephen Herek,"Victoria Justice, Midori Francis, Robyn Scott",2021-09-02,2021,TV-PG,110 min,"Comedies, Romantic Movies",Comedies,Other
s115,Movie,Anjaam,Rahul Rawail,"Madhuri Dixit, Shah Rukh Khan, Tinnu Anand",2021-09-02,1994,TV-14,143 min,"Dramas, International Movies, Thrillers",Dramas,India
s116,Movie,Bright Star,Jane Campion,"Abbie Cornish, Ben Whishaw, Paul Schneider",2021-09-02,2009,PG,119 min,"Dramas, Romantic Movies",Dramas,United Kingdom
s117,Movie,Dhanak,Nagesh Kukunoor,"Krrish Chhabria, Hetal Gada, Vipin Sharma",2021-09-02,2015,TV-PG,114 min,"Comedies, Dramas, Independent Movies",Comedies,India
s118,Movie,Final Account,Luke Holland,Unknown,2021-09-02,2021,PG-13,94 min,Documentaries,Documentaries,United Kingdom
s119,Movie,Gurgaon,Shanker Raman,"Akshay Oberoi, Pankaj Tripathi, Ragini Khanna",2021-09-02,2017,TV-14,106 min,"Dramas, International Movies, Thrillers",Dramas,India
s120,Movie,Here And There,Jp Habac,"Janine Gutierrez, Jc Santos, Victor Anastacio",2021-09-02,2020,TV-MA,99 min,"Dramas, International Movies, Romantic Movies",Dramas,Other
s121,TV Show,Heroes Of Goo Jit Zu,Unknown,"Jon Allen, Kellen Goff, Joe Hernandez",2021-09-02,2021,TV-Y7,1 Season,"Kids' TV, TV Comedies",Kids' TV,Australia
s122,TV Show,Hotel Del Luna,Unknown,"Lee Ji-Eun, Yeo Jin-Goo, Shin Jung-Geun",2021-09-02,2019,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",International TV Shows,Other
s123,Movie,In The Cut,Jane Campion,"Meg Ryan, Mark Ruffalo, Jennifer Jason Leigh",2021-09-02,2003,R,118 min,Thrillers,Thrillers,United Kingdom
s124,TV Show,Luv Kushh,Unknown,Unknown,2021-09-02,2012,TV-Y7,1 Season,Kids' TV,Kids' TV,Other
s125,TV Show,Pororo - The Little Penguin,Unknown,Unknown,2021-09-02,2013,TV-Y7,3 Seasons,"Kids' TV, Korean TV Shows",Kids' TV,South Korea
s126,TV Show,Q-Force,Unknown,"Sean Hayes, Wanda Sykes, Laurie Metcalf",2021-09-02,2021,TV-MA,1 Season,"Crime TV Shows, TV Action and Adventure, TV Comedies",Crime TV Shows,United States
s127,Movie,Shikara,Vidhu Vinod,"Aadil Khan, Sadia Khateeb, Zain Khan Durrani",2021-09-02,2020,TV-14,115 min,"Dramas, International Movies, Romantic Movies",Dramas,India
s128,Movie,A Cinderella Story,Mark Rosman,"Hilary Duff, Chad Michael Murray, Jennifer Coolidge",2021-09-01,2004,PG,95 min,"Children and Family Movies, Comedies",Children and Family Movies,United States
s129,Movie,Agatha Christies Crooked House,Gilles Paquet-Brenner,"Glenn Close, Terence Stamp, Max Irons",2021-09-01,2017,PG-13,115 min,"Dramas, International Movies, Thrillers",Dramas,Other
s130,Movie,An Unfinished Life,Lasse Hallstram,"Robert Redford, Jennifer Lopez, Morgan Freeman",2021-09-01,2005,PG-13,108 min,Dramas,Dramas,Germany
s131,Movie,Barbie Big City Big Dreams,Scott Pleydell-Pearce,"America Young, Amber May, Giselle Fernandez",2021-09-01,2021,TV-Y,63 min,"Children and Family Movies, Music and Musicals",Children and Family Movies,Other
s132,Movie,Blade Runner The Final Cut,Ridley Scott,"Harrison Ford, Rutger Hauer, Sean Young",2021-09-01,1982,R,117 min,"Action and Adventure, Classic Movies, Cult Movies",Action and Adventure,United States
s133,TV Show,Brave Animated Series,Unknown,"Tseng Yun-Fan, Kao Yun-Shuo, Chiang Ching-Yen",2021-09-01,2021,TV-MA,1 Season,"International TV Shows, TV Action and Adventure, TV Comedies",International TV Shows,Other
s134,Movie,Chappie,Neill Blomkamp,"Sharlto Copley, Hugh Jackman, Sigourney Weaver",2021-09-01,2015,R,121 min,"Action and Adventure, Sci-Fi and Fantasy",Action and Adventure,South Africa
s135,Movie,Clear And Present Danger,Phillip Noyce,"Harrison Ford, Willem Dafoe, Anne Archer",2021-09-01,1994,PG-13,142 min,"Action and Adventure, Dramas",Action and Adventure,United States
s136,Movie,Cliffhanger,Renny Harlin,"Sylvester Stallone, John Lithgow, Michael Rooker",2021-09-01,1993,R,113 min,Action and Adventure,Action and Adventure,United States
s137,Movie,Cold Mountain,Anthony Minghella,"Jude Law, Nicole Kidman, Renae Zellweger",2021-09-01,2003,R,154 min,"Dramas, Romantic Movies",Dramas,United States
s138,Movie,Crocodile Dundee In Los Angeles,Simon Wincer,"Paul Hogan, Linda Kozlowski, Jere Burns",2021-09-01,2001,PG,95 min,"Action and Adventure, Comedies",Action and Adventure,Australia
s139,Movie,Dear John,Lasse Hallstram,"Channing Tatum, Amanda Seyfried, Richard Jenkins",2021-09-01,2010,PG-13,108 min,"Dramas, Romantic Movies",Dramas,United States
s140,Movie,Do The Right Thing,Spike Lee,"Danny Aiello, Ossie Davis, Ruby Dee",2021-09-01,1989,R,120 min,"Classic Movies, Comedies, Dramas",Classic Movies,United States
s141,Movie,El Patran Radiografaa De Un Crimen,Sebastian Schindel,"Joaquan Furriel, Luis Ziembrowski, Guillermo Pfening",2021-09-01,2014,TV-MA,100 min,"Dramas, International Movies, Thrillers",Dramas,Argentina
s142,Movie,Extraction,Steven C.,"Bruce Willis, Kellan Lutz, Gina Carano",2021-09-01,2015,R,82 min,Action and Adventure,Action and Adventure,United States
